-----------------------------------SYSTEM PARAMETERS---------------------------------
   System geometry:                                         film
   Domain in Angstroms:                                 100.0000 Angstrom
   Domain discretization:                                 0.5000 Angstrom
   Nodes across the domain:                                  200 nodes
   Temperature:                                         500.0000 K
   Pressure:                                              0.0000 atm
----------------------------------POLYMER PROPERTIES---------------------------------
   Monomer mass:                                        100.0000 g/mol
   Mass density:                                          1.0000 g/cm^3
--------------------------------SIMULATION PARAMETERS--------------------------------
   Output thermodynamics every:                              100           steps
   Output computes every:                                   1000 steps
   Field will be initialized to zero            
   Field error tolerance:                                 0.0000 J/k_BT
   Field mixing fraction:                            0.010000000
   Field andersen fraction:                          0.100000000
   Edwards solver                                       implicit
   *Linear solver not set.. we will use tridag..
   Maximum iterations:                                     40000 iterations
   Andersen_after_iter:                                     2000 andersen_after_iter
   Spacing for chain contour discret:                    uniform
   Spacing for spatial discret:                          uniform
   Chain contour integration rule:                  Simpson rule
   Spatial integration rule:                      Recrangle rule
-------------------------------------mxa CHAINS-----------------------------------   
   chain kind:                                                 1
   Chain contour discretization:                 0.500000000E+00 monomers
   Chain length:                                    50.000000000 monomers
   Chain characteristic ratio C_infinity:                10.0000
   Bond length:                                           1.0000 Angstrom
-------------------------------------mxb CHAINS-----------------------------------   
   chain kind:                                                 2
   Chain contour discretization:                 0.500000000E+00 monomers
   Chain length:                                    50.000000000 monomers
   Chain characteristic ratio C_infinity:                10.0000
   Bond length:                                           1.0000 Angstrom
------------------------------------ BULK CHAINS ------------------------------------
   Chain length (auto):                             50.000000000 monomers
---------------------------------BOUNDARY CONDITIONS---------------------------------
   mxa boundary condition for lo edge:                 Dirichlet q=1
   mxa boundary condition for hi edge:                 Dirichlet q=0
   mxb boundary condition for lo edge:                 Dirichlet q=0
   mxb boundary condition for hi edge:                 Dirichlet q=1
------------------------------SETUP THE EQUATION OF STATE----------------------------
   The incompressible model was chosen:         
   Flory chi parameter :                                  1.0000
------------------------------------SETUP THE WALLS----------------------------------
   Wall type:                                             vacuum
   *Side of the solid wall not detected..       
                  ..it will be set to both sides
   *Hard sphere wall position not found. Auto:            0.0000 Angstrom
-----------------------------INITIALIZE THE SCF PARAMETERS---------------------------
   mxa radious of gyration:                               9.1287 Angstrom
   mxa nodes along chain contour:                            100 nodes
   mxb radious of gyration:                               9.1287 Angstrom
   mxb nodes along chain contour:                            100 nodes
   molar density in bulk                              10000.0000 mol/m3
---------------------------------BEGIN THE SIMULATION--------------------------------
        Iteration    energy (mN/m)    error (k_B T)         gdens_lo         gdens_hi            nch_m          nch_mxb          nch_glo          nch_ghi         fraction
            13400    0.8356031E+01    0.5589736E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13500    0.8356031E+01    0.5005298E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13600    0.8356031E+01    0.4199635E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13700    0.8356031E+01    0.3716741E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13800    0.8356031E+01    0.3329834E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13900    0.8356031E+01    0.3059457E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14000    0.8356031E+01    0.2352052E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14100    0.8356031E+01    0.1970839E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14200    0.8356031E+01    0.1767187E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14300    0.8356031E+01    0.1629455E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14400    0.8356031E+01    0.1482730E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14500    0.8356031E+01    0.1356465E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14600    0.8356031E+01    0.1293265E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14700    0.8356031E+01    0.1199875E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14800    0.8356031E+01    0.1039389E-09    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14900    0.8356031E+01    0.9643572E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15000    0.8356031E+01    0.8320737E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15100    0.8356031E+01    0.7572765E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15200    0.8356031E+01    0.6444049E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15300    0.8356031E+01    0.5084885E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15400    0.8356031E+01    0.4615565E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15500    0.8356031E+01    0.4267324E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15600    0.8356031E+01    0.3561677E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15700    0.8356031E+01    0.2657381E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15800    0.8356031E+01    0.2388976E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15900    0.8356031E+01    0.2144900E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            16000    0.8356031E+01    0.1955469E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            16100    0.8356031E+01    0.1882475E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            16200    0.8356031E+01    0.1582295E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            16300    0.8356031E+01    0.1239885E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            16400    0.8356031E+01    0.1205150E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            16500    0.8356031E+01    0.1086764E-10    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            16591    0.8356031E+01    0.9880624E-11    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01

Convergence of max field error   0.9880624E-11 k_B T
-------------------------------------FINAL OUTPUT------------------------------------
   Free energy:        0.8356031E+01 mN/m
------------------------------------mxa CHAINS-----------------------------------    
   matrix chains:      0.6052251E-02 chains
------------------------------------mxb CHAINS-----------------------------------    
   matrix chains:      0.6052252E-02 chains
